mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_class_weight,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.002557516098022461,0.00016607876104787577,0.00096588134765625,9.075470153975605e-05,l2,balanced,20.0,"{'penalty': 'l2', 'class_weight': 'balanced', 'C': 20.0}",0.29411764705882354,0.29111531190926276,0.2925851703406814,0.2954091816367265,0.29435483870967744,0.29351642993103433,0.0015019662122267726,28,0.2929440389294404,0.28789323164918973,0.3070665988815455,0.30009871668311944,0.29846306395637084,0.2972931300199332,0.006512041741618255
0.03143329620361328,0.008349848444805491,0.0010221004486083984,5.2909589792938986e-05,l1,balanced,20.0,"{'penalty': 'l1', 'class_weight': 'balanced', 'C': 20.0}",0.29411764705882354,0.29111531190926276,0.2925851703406814,0.2948207171314741,0.29435483870967744,0.29339873702998387,0.0013659363455444141,31,0.2929440389294404,0.28789323164918973,0.3070665988815455,0.2999506660088801,0.29846306395637084,0.2972635198850853,0.00649954206741311
0.012421178817749023,0.0023770026068211376,0.0012639999389648438,0.0005770152959188706,l1,,100.0,"{'penalty': 'l1', 'class_weight': None, 'C': 100.0}",0.4596774193548387,0.4954954954954955,0.44081632653061226,0.48412698412698413,0.5065502183406113,0.4773332887697084,0.02397860412649286,1,0.48898216159496327,0.4772727272727273,0.4994731296101159,0.4864864864864865,0.48805815160955346,0.4880545313147692,0.007070374262487912
0.0025693893432617186,0.0006231201252404208,0.0013119697570800782,0.0008523460054730026,l2,balanced,0.05,"{'penalty': 'l2', 'class_weight': 'balanced', 'C': 0.05}",0.28142589118198874,0.28051001821493626,0.28076923076923077,0.2857142857142857,0.2889733840304182,0.2834785619821719,0.0033333981184840776,44,0.2849109653233365,0.2797074954296161,0.2961876832844575,0.2890772128060264,0.28544512482336315,0.2870656963333599,0.005452872320900778
0.001797962188720703,4.553967118125902e-05,0.000865030288696289,4.043072992716681e-05,l2,,0.01,"{'penalty': 'l2', 'class_weight': None, 'C': 0.01}",0.4409448818897638,0.4691358024691358,0.4274193548387097,0.47808764940239046,0.48333333333333334,0.45978420438666656,0.02181482761192763,22,0.4735772357723577,0.466,0.4752275025278059,0.46808510638297873,0.46774193548387094,0.47012635603340264,0.003600256716871064
0.006346511840820313,0.0024868742784229445,0.00113677978515625,0.0004783324400304967,l1,,0.1,"{'penalty': 'l1', 'class_weight': None, 'C': 0.1}",0.4603174603174603,0.49557522123893805,0.4291497975708502,0.48582995951417,0.5021645021645021,0.47460738816118414,0.02681635785858522,20,0.4822546972860125,0.4784394250513347,0.49372384937238495,0.48132780082987553,0.48390446521287644,0.48393004755049684,0.00520854356830035
0.008864116668701173,0.0018986008635899847,0.0012787818908691407,0.0006540586483849713,l1,,0.5,"{'penalty': 'l1', 'class_weight': None, 'C': 0.5}",0.4596774193548387,0.497737556561086,0.4326530612244898,0.4819277108433735,0.5065502183406113,0.4757091932648799,0.026780350479737005,14,0.4894957983193277,0.4772727272727273,0.49842271293375395,0.48132780082987553,0.49166666666666664,0.4876371412044702,0.007526607354706657
0.0037127017974853517,0.0015565782051143277,0.001292276382446289,0.0006106849482607905,l2,balanced,1.0,"{'penalty': 'l2', 'class_weight': 'balanced', 'C': 1.0}",0.29296875,0.2894736842105263,0.28857715430861725,0.294234592445328,0.29494949494949496,0.2920407351827933,0.002558173087806561,36,0.29209121785541,0.28679962013295346,0.30628803245436104,0.29847815414825724,0.2974308300395257,0.2962175709261015,0.0065379051137029725
0.004072952270507813,0.0016349793245344015,0.0010547637939453125,0.00021950063166459446,l2,,100.0,"{'penalty': 'l2', 'class_weight': None, 'C': 100.0}",0.4596774193548387,0.4954954954954955,0.44081632653061226,0.48412698412698413,0.5065502183406113,0.4773332887697084,0.02397860412649286,1,0.48898216159496327,0.4772727272727273,0.4994731296101159,0.4864864864864865,0.48805815160955346,0.4880545313147692,0.007070374262487912
0.1092897891998291,0.03833748748779022,0.0010542869567871094,3.5910618731008174e-05,l1,,50.0,"{'penalty': 'l1', 'class_weight': None, 'C': 50.0}",0.4596774193548387,0.4954954954954955,0.44081632653061226,0.48412698412698413,0.5065502183406113,0.4773332887697084,0.02397860412649286,1,0.48898216159496327,0.4772727272727273,0.4994731296101159,0.4864864864864865,0.48805815160955346,0.4880545313147692,0.007070374262487912
0.002824878692626953,0.001694679935124595,0.001186704635620117,0.00048645672373477244,l2,,0.5,"{'penalty': 'l2', 'class_weight': None, 'C': 0.5}",0.4596774193548387,0.4954954954954955,0.4344262295081967,0.4819277108433735,0.5065502183406113,0.47561541470850316,0.02585572835449548,15,0.4905263157894737,0.47530864197530864,0.49842271293375395,0.48598130841121495,0.49166666666666664,0.4883811291552836,0.007653483493005308
