threshold,precision,recall,f1
0.4375,0.32053941908713696,0.7963917525773195,0.45710059171597633
0.44,0.3238993710691824,0.7963917525773195,0.46050670640834573
0.4425,0.32421052631578945,0.7938144329896907,0.46038863976083705
0.445,0.3248407643312102,0.788659793814433,0.46015037593984964
0.4475,0.32867883995703545,0.788659793814433,0.46398786959818045
0.45,0.3300970873786408,0.788659793814433,0.46539923954372625
0.4525,0.3282773564463705,0.7809278350515464,0.4622425629290618
0.455,0.32717391304347826,0.7757731958762887,0.4602446483180428
0.4575,0.32967032967032966,0.7731958762886598,0.4622496147919877
0.46,0.3314917127071823,0.7731958762886598,0.46403712296983757
0.4625,0.33370535714285715,0.770618556701031,0.4657320872274143
0.465,0.3348314606741573,0.7680412371134021,0.46635367762128327
0.4675,0.336734693877551,0.7654639175257731,0.46771653543307085
0.47000000000000003,0.33714285714285713,0.7603092783505154,0.4671417260490895
0.47250000000000003,0.33716915995397007,0.7551546391752577,0.46618933969769294
0.47500000000000003,0.33874709976798145,0.7525773195876289,0.4672
0.47750000000000004,0.34032634032634035,0.7525773195876289,0.46869983948635635
0.48,0.34275618374558303,0.75,0.47049312853678255
0.4825,0.34437869822485206,0.75,0.4720194647201946
0.485,0.3473053892215569,0.7474226804123711,0.4742436631234669
0.4875,0.3466183574879227,0.7396907216494846,0.4720394736842105
0.49,0.34957369062119364,0.7396907216494846,0.4747725392886683
0.4925,0.35049019607843135,0.7371134020618557,0.4750830564784053
0.495,0.35098522167487683,0.7345360824742269,0.475
0.4975,0.35141800246609123,0.7345360824742269,0.475396163469558
0.5,0.3527227722772277,0.7345360824742269,0.4765886287625418
0.5025000000000001,0.3541147132169576,0.7319587628865979,0.4773109243697479
0.505,0.35651074589127685,0.7268041237113402,0.47837150127226463
0.5075000000000001,0.35714285714285715,0.7216494845360825,0.4778156996587031
0.51,0.3590733590733591,0.7190721649484536,0.47896995708154505
0.5125,0.36093143596377747,0.7190721649484536,0.4806201550387597
0.515,0.36150845253576075,0.7164948453608248,0.48055315471045806
0.5175,0.362565445026178,0.7139175257731959,0.4809027777777778
0.52,0.3632760898282695,0.7087628865979382,0.48034934497816595
0.5225,0.36423841059602646,0.7087628865979382,0.48118985126859143
0.525,0.3652058432934927,0.7087628865979382,0.4820333041191937
0.5275,0.36764705882352944,0.7087628865979382,0.4841549295774648
0.53,0.3691275167785235,0.7087628865979382,0.4854368932038835
0.5325,0.37177747625508817,0.7061855670103093,0.4871111111111111
0.535,0.3727891156462585,0.7061855670103093,0.4879786286731968
0.5375,0.3741403026134801,0.7010309278350515,0.48789237668161434
0.54,0.37621023513139695,0.7010309278350515,0.4896489648964896
0.5425,0.37675070028011204,0.6932989690721649,0.4882032667876588
0.545,0.37799717912552894,0.6907216494845361,0.4886052871467639
0.5475,0.38,0.6855670103092784,0.4889705882352941
0.55,0.38108882521489973,0.6855670103092784,0.48987108655616945
0.5525,0.3815028901734104,0.6804123711340206,0.4888888888888889
0.555,0.38394160583941606,0.6778350515463918,0.4902143522833178
