mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_p,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.001472616195678711,0.000748454600825966,0.046311378479003906,0.005521761405432361,uniform,1,5,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 5}",0.2736842105263158,0.4117647058823529,0.4077669902912621,0.36,0.4158415841584158,0.3738114981716693,0.053992926873116846,6,0.543778801843318,0.555045871559633,0.5675675675675675,0.5598194130925508,0.562358276643991,0.557713986141412,0.008054855935200242
0.0009124755859375,0.0005567030508293563,0.05538187026977539,0.009757410661553096,uniform,1,11,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 11}",0.16470588235294117,0.32608695652173914,0.28888888888888886,0.20689655172413793,0.2857142857142857,0.25445851304039857,0.0593475911922939,17,0.35013262599469497,0.3802083333333333,0.3404255319148936,0.37597911227154046,0.3684210526315789,0.3630333312292083,0.015291450365262253
0.002025461196899414,0.0005479878222055931,0.05806045532226563,0.010537139211520706,distance,1,5,"{'weights': 'distance', 'p': 1, 'n_neighbors': 5}",0.2736842105263158,0.4117647058823529,0.4077669902912621,0.36,0.4158415841584158,0.3738114981716693,0.053992926873116846,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0012420654296875,0.0008822750258912744,0.04829225540161133,0.005419675096168038,distance,1,9,"{'weights': 'distance', 'p': 1, 'n_neighbors': 9}",0.1839080459770115,0.30434782608695654,0.3404255319148936,0.24719101123595505,0.30434782608695654,0.27604404826035467,0.0548975842425922,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0008984565734863281,0.000586190439182638,0.00795435905456543,0.0013583926445219704,distance,2,7,"{'weights': 'distance', 'p': 2, 'n_neighbors': 7}",0.30927835051546393,0.3711340206185567,0.3125,0.3541666666666667,0.40816326530612246,0.35104846062136197,0.037164444723568155,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.001059246063232422,0.0006730854593337783,0.010301923751831055,0.004798845156754429,distance,2,15,"{'weights': 'distance', 'p': 2, 'n_neighbors': 15}",0.22727272727272727,0.28888888888888886,0.20930232558139536,0.2247191011235955,0.22727272727272727,0.23549115402786686,0.027525606347974713,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0010334968566894532,0.0006179341987298558,0.05089073181152344,0.004519579731521154,distance,1,3,"{'weights': 'distance', 'p': 1, 'n_neighbors': 3}",0.3269230769230769,0.41904761904761906,0.45045045045045046,0.40384615384615385,0.46846846846846846,0.4137471537471538,0.04900224346193475,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0010980606079101563,0.0006717942874253318,0.008514881134033203,0.0038991559374007756,uniform,2,3,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 3}",0.35514018691588783,0.4485981308411215,0.4406779661016949,0.3728813559322034,0.411214953271028,0.40570251861238715,0.03668100466913893,3,0.6568421052631579,0.6763485477178424,0.6776180698151951,0.6583850931677019,0.6570247933884298,0.6652437218704654,0.009608541812878594
0.002364349365234375,0.001229462492577252,0.012756586074829102,0.003404157641578998,uniform,2,21,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 21}",0.18604651162790697,0.22988505747126436,0.14457831325301204,0.2247191011235955,0.20689655172413793,0.19842510703998334,0.031001854159249474,21,0.24362606232294617,0.24293785310734464,0.24293785310734464,0.22285714285714286,0.20809248554913296,0.23209027938878224,0.014349626604519312
0.0008700370788574218,0.0005684185420886998,0.007173776626586914,0.0013262454476263795,distance,2,3,"{'weights': 'distance', 'p': 2, 'n_neighbors': 3}",0.35514018691588783,0.4485981308411215,0.4406779661016949,0.3728813559322034,0.411214953271028,0.40570251861238715,0.03668100466913893,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0011123180389404296,0.0006337321475423281,0.05458812713623047,0.005576514127451156,distance,1,15,"{'weights': 'distance', 'p': 1, 'n_neighbors': 15}",0.14285714285714285,0.20930232558139536,0.18823529411764706,0.16470588235294117,0.24719101123595505,0.1904583312290163,0.03607685339785101,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
