mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_max_iter,param_max_depth,param_learning_rate,param_l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.10830235481262207,0.01106036298392863,0.0054970264434814455,0.0024850239483929265,80,300,3,0.05,10.0,"{'min_samples_leaf': 80, 'max_iter': 300, 'max_depth': 3, 'learning_rate': 0.05, 'l2_regularization': 10.0}",0.6808510638297872,0.7021276595744681,0.6666666666666666,0.6736842105263158,0.723404255319149,0.6893467711832773,0.020761229849827083,39,0.7316421895861148,0.7272727272727273,0.7152317880794702,0.7421555252387448,0.7329700272479565,0.7298544514850027,0.008771622658637629
0.11704320907592773,0.015775701079241648,0.00536952018737793,0.001214260000750088,120,300,4,0.03,10.0,"{'min_samples_leaf': 120, 'max_iter': 300, 'max_depth': 4, 'learning_rate': 0.03, 'l2_regularization': 10.0}",0.6368159203980099,0.7135135135135136,0.6633165829145728,0.6153846153846154,0.6865671641791045,0.6631195592779633,0.03481346263799739,40,0.6927939317319848,0.6757425742574258,0.6886912325285895,0.6886912325285895,0.7038961038961039,0.6899630149885387,0.009028852108129846
0.36711812019348145,0.013349145032059733,0.013288068771362304,0.002370886312990967,50,600,5,0.1,1.0,"{'min_samples_leaf': 50, 'max_iter': 600, 'max_depth': 5, 'learning_rate': 0.1, 'l2_regularization': 1.0}",0.7581699346405228,0.7891156462585034,0.782051282051282,0.782051282051282,0.8299319727891157,0.7882640235581412,0.023322923299545707,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.7011956214904785,0.026807921899156425,0.018751144409179688,0.0026057460464847955,30,1000,5,0.05,5.0,"{'min_samples_leaf': 30, 'max_iter': 1000, 'max_depth': 5, 'learning_rate': 0.05, 'l2_regularization': 5.0}",0.8,0.8391608391608392,0.8333333333333334,0.8435374149659864,0.8133333333333334,0.8258729841586984,0.01655844297154292,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.34757275581359864,0.016370718447119844,0.012151861190795898,0.0014149987855432329,80,600,5,0.08,10.0,"{'min_samples_leaf': 80, 'max_iter': 600, 'max_depth': 5, 'learning_rate': 0.08, 'l2_regularization': 10.0}",0.7469879518072289,0.7919463087248322,0.7975460122699386,0.7560975609756098,0.7898089171974523,0.7764773501950122,0.020716506965538138,17,0.9672386895475819,0.9779874213836478,0.9795275590551181,0.9748427672955975,0.9763779527559056,0.9751948780075701,0.004275394863437582
0.41334877014160154,0.02782752371123921,0.017246818542480467,0.003985598629730239,120,1000,4,0.03,1.0,"{'min_samples_leaf': 120, 'max_iter': 1000, 'max_depth': 4, 'learning_rate': 0.03, 'l2_regularization': 1.0}",0.7085714285714285,0.759493670886076,0.75,0.7241379310344828,0.7544910179640718,0.7393388096912118,0.019632459229730576,35,0.9066666666666666,0.911504424778761,0.9098966026587888,0.9180327868852459,0.9098966026587888,0.9111994167296503,0.0037610756369250336
0.15346388816833495,0.010749955548889077,0.007419109344482422,0.0016175366341728574,50,300,4,0.1,1.0,"{'min_samples_leaf': 50, 'max_iter': 300, 'max_depth': 4, 'learning_rate': 0.1, 'l2_regularization': 1.0}",0.7515923566878981,0.8079470198675497,0.7607361963190185,0.7425149700598802,0.8344370860927153,0.7794455258054123,0.03556996163618756,13,0.9763779527559056,0.9795275590551181,0.9733124018838305,0.9701726844583988,0.9763779527559056,0.9751537101818318,0.0031726685056112456
0.25766429901123045,0.05321579602148807,0.011629343032836914,0.003649120881698379,120,600,4,0.05,0.1,"{'min_samples_leaf': 120, 'max_iter': 600, 'max_depth': 4, 'learning_rate': 0.05, 'l2_regularization': 0.1}",0.7126436781609196,0.7643312101910829,0.75,0.7167630057803468,0.7804878048780488,0.7448451398020796,0.026465900625615116,34,0.9147982062780269,0.9185185185185185,0.9210134128166915,0.9251497005988024,0.9196428571428571,0.9198245390709792,0.003369673142386844
0.6121879100799561,0.014328391136494012,0.01556239128112793,0.002651841144489278,30,1000,4,0.08,10.0,"{'min_samples_leaf': 30, 'max_iter': 1000, 'max_depth': 4, 'learning_rate': 0.08, 'l2_regularization': 10.0}",0.7643312101910829,0.821917808219178,0.8152866242038217,0.84,0.8344370860927153,0.8151945457413596,0.026899351517239177,8,0.9967845659163987,1.0,1.0,1.0,1.0,0.9993569131832798,0.0012861736334405015
0.4431282997131348,0.014611203948064396,0.014583206176757813,0.0032025716637713317,50,1000,3,0.03,1.0,"{'min_samples_leaf': 50, 'max_iter': 1000, 'max_depth': 3, 'learning_rate': 0.03, 'l2_regularization': 1.0}",0.7272727272727273,0.782608695652174,0.7314285714285714,0.7108433734939759,0.775,0.7454306735694897,0.02820851501277261,33,0.899390243902439,0.8938714499252616,0.9049773755656109,0.8878787878787879,0.9179331306990881,0.9008101975942374,0.010275641637267062
0.21892614364624025,0.017831722087814042,0.008487653732299805,0.0023131124231320264,50,300,5,0.1,10.0,"{'min_samples_leaf': 50, 'max_iter': 300, 'max_depth': 5, 'learning_rate': 0.1, 'l2_regularization': 10.0}",0.7108433734939759,0.8129032258064516,0.7619047619047619,0.7560975609756098,0.8125,0.7708497844361599,0.03847503935508941,23,0.9612403100775194,0.9673405909797823,0.9598765432098766,0.9657320872274143,0.9612403100775194,0.9630859683144225,0.0029057555810106384
